"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/20/2022","SNACK* MOGE TEE (AMHER","SNACK* MOGE TEE (AMHER","16.67","debit","Restaurants","CREDIT CARD","",""
"12/20/2022","POPEYES #13908","POPEYES #13908","22.82","debit","Restaurants","CREDIT CARD","",""
"12/19/2022","TST* ICHINA              SANTA CLARA  CA ","TST* ICHINA              SANTA CLARA  CA ","83.90","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"12/19/2022","SQ *BIG BASIN CAFE       Saratoga     CA ","SQ *BIG BASIN CAFE       Saratoga     CA ","11.56","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"12/18/2022","DOORDASH*WENDYS","DOORDASH*WENDYS","47.79","debit","Fast Food","CREDIT CARD","",""
"12/18/2022","SRI SAI LLC","SRI SAI LLC","20.18","debit","Restaurants","CREDIT CARD","",""
"12/17/2022","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","BT*DD *DOORDASH BOUDSAN FRANCISCO       CA","21.64","debit","Food Delivery","Blue from American Express","",""
"12/17/2022","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","80.67","debit","Food Delivery","Blue from American Express","",""
"12/17/2022","SQ *COFFEE & WATER LAB   San Jose     CA ","SQ *COFFEE & WATER LAB   San Jose     CA","6.98","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"12/16/2022","FIVE GUYS 1927 QSR","FIVE GUYS 1927 QSR","19.41","debit","Fast Food","CREDIT CARD","",""
"12/16/2022","Subway 6845","Subway 6845","16.95","debit","Fast Food","CREDIT CARD","",""
"12/13/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"12/12/2022","MADRAS CAFE              SUNNYVALE    CA ","MADRAS CAFE              SUNNYVALE    CA","127.00","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"12/12/2022","POPEYES #13908","POPEYES #13908","22.77","debit","Restaurants","CREDIT CARD","",""
"12/11/2022","FIVE GUYS 1927 QSR","FIVE GUYS 1927 QSR","11.78","debit","Fast Food","CREDIT CARD","",""
"12/11/2022","SNACK* MOGE TEE (AMHER","SNACK* MOGE TEE (AMHER","17.99","debit","Restaurants","CREDIT CARD","",""
"12/10/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"12/10/2022","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","BT*DD *DOORDASH CHAASAN FRANCISCO       CA","53.46","debit","Food Delivery","Blue from American Express","",""
"12/09/2022","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","DOORDASH*BOUDIN BAKESAN FRANCISCO       CA","21.64","debit","Fast Food","Blue from American Express","",""
"12/09/2022","JOE  THE JUICE SFO LLC   Palo Alto    CA ","JOE  THE JUICE SFO LLC   Palo Alto    CA","6.61","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"12/08/2022","PEET'S #32402            MOUNTAIN VIEWCA ","PEET'S #32402            MOUNTAIN VIEWCA","11.96","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"12/07/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"12/07/2022","DOORDASH DASHPASS   SAN FRANCISCO       CA","DOORDASH DASHPASS   SAN FRANCISCO       CA","9.99","debit","Food Delivery","Blue from American Express","",""
"12/06/2022","SNOWFLAKE COMPUTING","SNOWFLAKE COMPUTING","112.45","debit","Restaurants","Business Adv Unlimited Cash Rewards - 2733","",""
"12/05/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"12/05/2022","SQ *SCOOPZILLA ICE CREAM San Jose     CA ","SQ *SCOOPZILLA ICE CREAM San Jose     CA","6.25","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"12/05/2022","MADRAS CAFE              SUNNYVALE    CA ","MADRAS CAFE              SUNNYVALE    CA","52.89","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"12/05/2022","Withdrawal U.S. BANK,USB EL PASEO DE SA     SAN JOSE     CAUS","Withdrawal U.S. BANK,USB EL PASEO DE SA     SAN JOSE     CAUS","100.00","debit","Restaurants","Provident Checking","",""
"12/04/2022","TST* Omi Omy","TST* Omi Omy","15.21","debit","Restaurants","CREDIT CARD","",""
"12/04/2022","TST* Omi Omy","TST* Omi Omy","9.08","debit","Restaurants","CREDIT CARD","",""
"12/04/2022","FIVE GUYS 1927 QSR","FIVE GUYS 1927 QSR","25.58","debit","Fast Food","CREDIT CARD","",""
"12/04/2022","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","BT*DD *DOORDASH THEMSAN FRANCISCO       CA","38.63","debit","Food Delivery","Blue from American Express","",""
"12/02/2022","JOE  THE JUICE SFO LLC   Palo Alto    CA ","JOE  THE JUICE SFO LLC   Palo Alto    CA","5.24","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"12/01/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"12/01/2022","BT*DD *DOORDASH CURRSAN FRANCISCO       CA","BT*DD *DOORDASH CURRSAN FRANCISCO       CA","57.27","debit","Food Delivery","Blue from American Express","",""
"11/30/2022","DOORDASH*MR SUN TEA SAN FRANCISCO       CA","DOORDASH*MR SUN TEA SAN FRANCISCO       CA","10.52","debit","Food Delivery","Blue from American Express","",""
"11/29/2022","PANDA EXPRESS #800       LEBEC        CA ","PANDA EXPRESS #800       LEBEC        CA","26.38","debit","Fast Food","Premium Rewards Visa Signature - 4511","",""
"11/29/2022","TST* Willow Ranch RestaurButtonwillow CA ","TST* Willow Ranch RestaurButtonwillow CA","35.17","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/28/2022","TST* Cafe Sevilla        San Diego    CA ","TST* Cafe Sevilla        San Diego    CA","174.41","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/28/2022","SQ *HOB COFFEE           San Diego    CA ","SQ *HOB COFFEE           San Diego    CA","8.75","debit","Coffee Shops","Premium Rewards Visa Signature - 4511","",""
"11/28/2022","TST* Seaport Fudge FactorSan Diego    CA ","TST* Seaport Fudge FactorSan Diego    CA","25.18","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/28/2022","PURCHASE                                AUTHORIZED ON   11/25 DING TEA FASHION V        SAN DIEGO     CA  S302329787171562   CARD 7539","PURCHASE                                AUTHORIZED ON   11/25 DING TEA FASHION V        SAN DIEGO     CA  S302329787171562   CARD 7539","9.60","debit","Restaurants","Meghna Chk","",""
"11/28/2022","PURCHASE                                AUTHORIZED ON   11/25 WETZEL'S PRETZELS         SAN DIEGO     CA  S582329724978994   CARD 7539","PURCHASE                                AUTHORIZED ON   11/25 WETZEL'S PRETZELS         SAN DIEGO     CA  S582329724978994   CARD 7539","11.38","debit","Restaurants","Meghna Chk","",""
"11/28/2022","THE COMMON ROOM","THE COMMON ROOM","34.55","debit","Restaurants","CREDIT CARD","",""
"11/28/2022","NAMASTE GARDEN","NAMASTE GARDEN","24.19","debit","Restaurants","CREDIT CARD","",""
"11/28/2022","LA FABRIQUE DE BAGEL","LA FABRIQUE DE BAGEL","12.96","debit","Fast Food","CREDIT CARD","",""
"11/28/2022","DIRTY DOGS CRESCENT","DIRTY DOGS CRESCENT","15.89","debit","Restaurants","CREDIT CARD","",""
"11/27/2022","EGGSPECTATION","EGGSPECTATION","25.00","debit","Restaurants","CREDIT CARD","",""
"11/27/2022","YIFANG FRUIT THE","YIFANG FRUIT THE","6.48","debit","Restaurants","CREDIT CARD","",""
"11/27/2022","LA GRANDE ROUE DE MONT","LA GRANDE ROUE DE MONT","18.78","debit","Restaurants","CREDIT CARD","",""
"11/27/2022","COUCHETARD #749","COUCHETARD #749","7.86","debit","Fast Food","CREDIT CARD","",""
"11/27/2022","LOLA ROSA","LOLA ROSA","34.01","debit","Restaurants","CREDIT CARD","",""
"11/25/2022","GELATO & FRIENDS         SAN DIEGO    CA ","GELATO & FRIENDS         SAN DIEGO    CA","24.84","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/25/2022","GELATO & FRIENDS         SAN DIEGO    CA ","GELATO & FRIENDS         SAN DIEGO    CA","5.95","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/25/2022","HAZUKIDO","HAZUKIDO","4.69","debit","Restaurants","CREDIT CARD","",""
"11/25/2022","MAISON CHAISHAI","MAISON CHAISHAI","30.88","debit","Restaurants","CREDIT CARD","",""
"11/25/2022","STARBUCKS STORE 22118","STARBUCKS STORE 22118","6.15","debit","Coffee Shops","CREDIT CARD","",""
"11/25/2022","MUSEE DES BEAUX ARTS D","MUSEE DES BEAUX ARTS D","16.36","debit","Restaurants","CREDIT CARD","",""
"11/25/2022","WIENSTEIN & GAVINO'S","WIENSTEIN & GAVINO'S","34.68","debit","Restaurants","CREDIT CARD","",""
"11/23/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/22/2022","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","SLICE*VIAMIAPIZZASARNEW YORK CITY       NY","31.30","debit","Restaurants","Blue from American Express","",""
"11/22/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
"11/22/2022","LIBRARY CAF","LIBRARY CAF","5.50","debit","Restaurants","CREDIT CARD","",""
"11/22/2022","FIVE GUYS 1927 QSR","FIVE GUYS 1927 QSR","17.50","debit","Fast Food","CREDIT CARD","",""
"11/21/2022","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","BT*DD *DOORDASH RADHSAN FRANCISCO       CA","37.35","debit","Food Delivery","Blue from American Express","",""
"11/21/2022","PURCHASE                                AUTHORIZED ON   11/17 TACO BELL #28838          SAN JOSE      CA  S302321810120578   CARD 7539","PURCHASE                                AUTHORIZED ON   11/17 TACO BELL #28838          SAN JOSE      CA  S302321810120578   CARD 7539","1.09","debit","Fast Food","Meghna Chk","",""
"11/21/2022","SQ *BIG BASIN CAFE       Saratoga     CA ","SQ *BIG BASIN CAFE       Saratoga     CA","8.95","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/21/2022","HONGS GOURMET            SARATOGA     CA ","HONGS GOURMET            SARATOGA     CA","134.53","debit","Restaurants","Premium Rewards Visa Signature - 4511","",""
"11/20/2022","DOORDASH*TEASPOON   SAN FRANCISCO       CA","DOORDASH*TEASPOON   SAN FRANCISCO       CA","16.19","debit","Food Delivery","Blue from American Express","",""
"11/20/2022","DOORDASH*PANERA BREASAN FRANCISCO       CA","DOORDASH*PANERA BREASAN FRANCISCO       CA","32.70","debit","Fast Food","Blue from American Express","",""
"11/19/2022","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","PEETSCOFFEE/MIGHTYLEEMERYVILLE          CA","25.00","debit","Coffee Shops","Blue from American Express","",""
